Accession Number,Date Recorded,Subject,Title
,,women of color authors,
,,alternative and feminist presses,
,,linking librarians and gay and lesbian presses,
,,JH Press,
SPW 1184,1980-04-10T00:00:00Z,Print in the women's community,Interview With Charlotte Bunch
,,women's movement,
,,Off Our Backs,
,,"""The Furies",
,,""" collective print as conversion tool",
,,lesbian separatism,
,,theory,
,,"""Quest.""",
SPW 1185,1981-01-01T00:00:00Z,Women's milestones in politics up to 1981,The 10th Women's Political Caucus
,,National Women's Political Caucus and their achievements and goals.,
SPW 1186,1987-05-31T00:00:00Z,Lesbian Herstory Archives,"""Aunt Lily Was A Lesbian"""
,,lesbian history,
,,self-love,
,,gender-bending,
,,coming of age stories.,
SPW 1187,1990-01-01T00:00:00Z,"""People in Trouble",Sarah Schulman In Modern Times: For People In Trouble
,,AIDS,
SPW 1188,,Defamatory statements about homosexuality taken from radio and television broadcasts,Defamation
,,anti-gay commentary,
,,religious hate agendas,
,,GLAD.,
SPW 1189,1989-01-01T00:00:00Z,Reading from Nestle's _A Restricted Country_,Joan Nestle: Live In Hollywood!
,,Erotica,
SPW 1190,1985-01-01T00:00:00Z,Nationalist Feminism,Introduction to Nationalist Feminism
,,"Robin Morgan's ""Sisterhood is Powerful",
,,Power (theory),
,,"""malism",
,,""" arguments against feminism",
,,sexual racism,
,,Poetry,
,,"American ""malism",
,,""" language as political tool.",
SPW 1191,1986-01-01T00:00:00Z,Illness: Environmental,"""Just Desserts"" Pt. 1"
,,disabled women,
,,disabled lesbians,
,,social stigmas of disabilities.,
SPW 1192,,,"""Just Desserts"" Pt. 2"
SPW 1193,1987-12-13T00:00:00Z,Relationships,"Lesbian Relationships: Fusion, Delusion, Confusion, And How To Avoid These"
,,competition,
,,societal pressures specific to lesbian relationships,
,,boundaries,
,,internalized homophobia,
,,relations with mothers.,
SPW 1194,July,Historicizing gay lives,Sex And The State Conference
,1985-01-01T00:00:00Z,theory,
,,social constructionism,
,,medical sources.,
SPW 1195,1973-06-30T00:00:00Z,Lesbian and feminist publications,Lavender Woman Publications Workshop
,,economic hardships for alternative presses,
,,which texts are good for women,
,,anarchist femninists.,
SPW 1196,1990-01-01T00:00:00Z,Sex-negative culture,Gay Sexuality And Healing
,,AIDs Movement,
,,sex education,
,,fluid exchanges,
,,sexual health.,
SPW 1197,,Poem to her mother.,Susan Garcia's Poetry
SPW 1198,7/1985,Lesbians in the 40s and 50s,Pat Loves Mary Loves Joan Loves Louise: Lesbian Relationships In The 40s And 50s
,,public vs. private lesbians,
,,oral histories,
,,issues with interviewing intimate stories.,
SPW 1199,1986-10-18T00:00:00Z,Sexual diversity,"""S/M: Oppression and Affirmation""""S/M: Oppression and Affirmation"""
,,gender roles,
,,S/M phobia,
,,lesbian S/M roles.,
SPW 1200,late 1980s,Motherhood in lesbian communities,
,,parenting as normative,
,,support within lesbian communities for mothers.,
SPW 1201,December 1973,Mothers,Collective Discussion on Mothers
SPW 1202,1994-05-20T00:00:00Z,Lesbian Herstory Archives' history,At Home With Joan
,,The Moody Garden Gang,
,,50s lesbian bar culture.,
SPW 1201,December 1973,Mothers,Collective Discussion on Motherhood
SPW 1203,April,An interview with Joan Nestle for the Ms. Magazine article on the Archives,Interview with Joan Nestle for Ms. Magazine
,1992-01-01T00:00:00Z,Lesbian Herstory Archives' mission,
,,feminism and its interconnectivity with lesbianism.,
SPW 1204,April,"Messages for the Archives about events, potential research, directions, volunteering, etc.",Lesbian Herstory Archives Incomng Message Tape
,1993-01-01T00:00:00Z,,
SPW 1205,September,The history of Kowalski's fight to have her partner be able to be her guardian,Karen Thompson Speaks at Douglas College
,1987-01-01T00:00:00Z,male privilege,
,,heterosexual privilege,
,,rights of disabled people.,
SPW 1206,1986-05-13T00:00:00Z,Understanding oneself,"Conversation with Viv, Adela, Kamela, and Lucy"
,,coming out as a lesbian,
,,what a lesbian is,
,,gender,
,,menage a tois.,
SPW 1207,1986-01-01T00:00:00Z,AIDS,Getting The Word Out: Linking Lesbian and Gay Publishers and Distributors with Libraries
,,Gay Book Award,
,,gay liberation ideology,
,,discrimination against people with AIDs.,
SPW 1208,1989-02-12T00:00:00Z,GLYNY,Outlooks: G.L.Y.N.Y (Gay and Lesbian Youth of New York)
,,gay youth issues,
,,events.,
SPW 1209,,Masculinist representations of lesbians,Lesbians in Fiction
,,_Mary: A Fiction_,
,,literature as herstory,
,,the Bloomsbury Group,
,,_Orlando_,
,,The Dark Island,
,,The Hogarth Press,
,,The Fox.,
SPW 1210,,"Women transitioning from divorce to single, straight to gay, single to partnerships, etc.",Women in Transition
,,sexual revolution,
,,life's transitions,
,,"""finding yourself",
,,""" alternatives to bar culture",
,,questioning one's sexuality.,
SPW 1211,1984-01-01T00:00:00Z,Being a lesbian with disabilities,We are Among You: Lesbians with Disabilities
SPW 1212,August 1981,Gay Liberation Movement,Lesbian and Gay Update
,,problems and progress since stonewall,
,,legal basis for discrimination against gay people.,
SPW 1213,,Censorship and erasure of women artists,Discussing Djuna Barnes
,,silence in literature,
,,Virago Press,
,,how editorial and critical procedures distort,
,,_Nightwood_,
,,Djuna Barnes,
SPW 1214,1983-01-01T00:00:00Z,Anti-semitism in the lesbian community,Jewish Lesbian Culture and Anti-Semitism in the Lesbian Community
,,various oral histories from Jewish gay people,
,,musical and artistic expressions of faith and sexuality.,
SPW 1215,1979-01-14T00:00:00Z,"A reading of poems by women, about women, for women, from a woman to her friend/lover (?) on her Birthday",Birthday Tape
SPW 1216,1989-03-12T00:00:00Z,Discussing a possible National Lesbian Agenda Conference,Outlooks: Butch Femme Dynamics Part II
,,an interview with Mabel Hampton,
,,lesbian sex,
,,butch and femme roles,
,,an interciew with Ruth Herstein (sp?),
,,stone butches,
,,and interview with contemporary women about lesbianism.,
SPW 1217,1970-01-01T00:00:00Z,Collective activism,Historical Denial of Lesbianism
,,the radical right's agenda,
,,lesbian past and culture,
,,the Moral Majority,
,,oppression against women,
SPW 1218,1992-01-05T00:00:00Z,Kowalski's condition,WBAI Interview with Karen Thompson
,,personal affect on Thompson because oft the ordeal.,
SPW 1219,1979-11-12T00:00:00Z,Science fiction,Interview of Sally Gearhart
,,the writing process,
,,violence and communication,
,,feminism,
,,healing,
,,psychic energy.,
SPW 1220,,Joan's relationship with Mabel,Joan and Deb talk to Beth about the Lesbain Herstory Archives
,,memories of Mabel,
,,histories of LHA,
,,memories of Judith,
,,communal caring in the Archives.,
SPW 1221,1983-10-29T00:00:00Z,"Purple as a ""gay"" color",Judy Grahn at the Gay Synagogue pt. 1 & 2
,,Spinsters Ink,
,,fiction/poetry reading,
,,tribal cultures.,
SPW 1222,,Matriarchy,Judy Grahn at the Gay Synagogue Pt. 3
,,tribal cultures.,
SPW 1223,1989-03-26T00:00:00Z,Minority Task Force on AIDs,Outlooks: NYC's Response to AIDs
,,impact AIDs has on people of color,
,,ACT UP,
,,city policies on women with AIDs,
,,health treatments for persons with AIDs.,
SPW 1224,1982-05-20T00:00:00Z,"Renee Hanover, the first publically out lesbian attorney, tells her life story as a Radical, lesbian, Jewish lawyer.",Renee Hanover's Oral History
SPW 1225,1981-05-01T00:00:00Z,Motherhood,At Home with Sonny Wainwright
,,relationships,
,,poetry reading.,
SPW 1226,1980-01-01T00:00:00Z,Why people hate,"""Homophobia in the Black Community"""
,,what happens to people when they feel angry,
,,homophobia,
,,how people came to fear homosexuality,
,,homophobia and how it manifests in African American communities.,
SPW 1227,,The Lesbian Herstory Archives' history,The Lesbian Herstory Archives on WBAI
,,why the Archives matter.,
SPW 1228,1985-01-01T00:00:00Z,Overt and subtle forms of censorship,Censorship in the Lesbian Community
,,feminist arguments against pornography,
,,contraversies surrounding S/M relations,
,,women's institution censoring sexually explicit materials.,
SPW 1229,1985-03-13T00:00:00Z,Lesbian and gay families in history,Securing Our Relationships / Creating our Families
,,collective memories,
,,various family structures and meanings in the gay community.,
SPW 1230,,"A memorial service for Isaaca Seigel, director of Gay Women's Alternative",Lesbian Herstory Archives Memorial to Isaaca Seigel
SPW 1231,1990-11-03T00:00:00Z,A benefit to support lesbian writers. Lesbian poets and writers reading their works.,Lesbian Writers Series Benefit Tape 1 of 2
SPW 1232,1980-01-01T00:00:00Z,"A discussion of a Time Magazine article called ""Girlish Boys,"" which claims people can have a gender identification disorder: a ""disorder"" that leads to [gasp?] homosexuality. A Gay Academic Union protest letter against such homophobia/torture/sexism",Coming Out
,,homosexuality in academia,
,,social norms gay people play into.,
SPW 1233,1983-02-27T00:00:00Z,Gay history and politics,"Gay News, 1st Show"
,,showing how the standard American history also shaped the gay liberation movement,
,,"the 50s time period, 60s, 70s",
,,growing up gay,
,,gay activism,
,,the Madashine Society,
,,being gay in the 40s.,
SPW 1234,1987-01-08T00:00:00Z,Primal Therapy,Ronnie Gilbert at GWA
,,gardening,
,,women's groups,
,,the Weavers,
,,folk music.,
SPW 1235,1970-01-01T00:00:00Z,Union women struggles,The Need for Unity Among Women: National NOW Conference
,,sexist inequalities in the workplace,
,,racial inequalities,
,,agism.,
SPW 1236,1978-08-18T00:00:00Z,The media and the myths it propogates about women's sexualities,CW Post Lesbians
,,"sexual acts declared as sins and what that says about cultures,",
SPW 1237,,A woman's account of a lesbian bar raid in the 60s,Peg's Take on the Bar Raid in 1964
SPW 1238,1981-02-11T00:00:00Z,Sandy's coming-out story in 1950,
,,harassment.,
SPW 1239,,A lesbian dramatic performance,Amazons: You're Out
SPW 1240,1973-01-01T00:00:00Z,The term homosexuality and its history as a disorder in APA nomenclature,Should Homosexuality be in the APA Nomenclature?
,,civil rights for homosexuals,
,,clinical research.,
SPW 1241,1965-01-01T00:00:00Z,Ann Sexton reads her poetry.,Ann Sexton Reads Her Poetry
SPW 1242,,Women writers,Interview with May Sarton
,,an overview of May Sarton's life,
,,being a female poet,
,,masculine poets and their feelings toward female writers,
,,what women tend to write about.,
SPW 1243,May 1994,A musical performance,Musicians Interviewed
,,women's music,
,,"living as a ""wild woman.""",
SPW 1244,1987-01-01T00:00:00Z,Rejuvinating lesbian sexual relationships,JoAnn Loulan: Fanning the Flames for Couples
,,lies we tell in relationships to avoid sex,
,,psychoanalysis,
,,wanting our partners to treat us like children.,
SPW 1245,1996-01-01T00:00:00Z,Healing poetry.,Riverwoman on Fire
SPW 1246,,Stress management for the new age,The Healing Power of Humor
,,being an African American lesbian,
,,observations about white people,
,,African American stereotypes,
,,New Yorkers.,
SPW 1247,1999-01-04T00:00:00Z,Discusses recent advances in anti-retroviral therapy,Changing Concepts in the Management of HIV Disease
,,updates physicians in management of HIV,
,,reviews current practices and treatments of people with HIV.,
SPW 1248,,A series of oral histories from lesbians to show who lesbians are and that they're as diverse a group as any group of women.,Straight Talk about Lesbians Pt. 1 and Pt. 2
SPW 1249,1972-01-01T00:00:00Z,"Gertrude Stein reads _The Making of Americans, Pt. 1 + 2_, _A Valentine to Sherwood Anderson_. _If I Told Him_, _ACompleted Portrait of Picasso/Matisse_, and _Madame Recamier: An Opera_.",Gertrude Stein Reads
SPW 1250,1983-01-27T00:00:00Z,"""Buddy"" Kent's oral history about growing up as a ""tomboy""","""Buddy"" Kent"
,,gay girls working for the Mafia,
,,the Depression,
,,gay night life.,
SPW 1251,1979-06-10T00:00:00Z,Mary Ann Costa's Oral History,Mary Ann Costa's Oral History
SPW 1252,1979-06-26T00:00:00Z,A celebration of Pride Weekend,Victoria Ramstetter: Poetry Reading
SPW 1253,,Menopause,Way Out!
,,Relationships,
,,feminism,
,,comedy,
,,social commentary.,
SPW 1254,,African American feminsim,Nappy Edges
,,Ntozake Change discusses her new book of poetry called _Nappy Edges_.,
SPW 1255,April 1968,Rich reads her poetry,The Poetry of Adrienne Rich
SPW 1256,1978-07-17T00:00:00Z,Germany,Interview With Cordula
,,coming out in rural Germany,
,,differences between European lesbians and American lesbians,
,,perspectives on New York lesbians.,
SPW 1257,1995-03-05T00:00:00Z,Misrepresentations of lesbianism in history,Lyon and Martin Interview Tape 1
,,academia vs. activism and bridging that divide,
,,Daughters of Bilitis,
SPW 1258,,,Lyon and Martin Interview Tape 2
SPW 1259,1982-04-23T00:00:00Z,"A discussion of sexualities and what politically correct means from the afternoon session of the Barnard Scholar and the Feminist IX Conference. erotica reading, consciousness raising groups, porn, S/M, politically correct versus politically incorrect, conformity versus assimilation, sex, orgasms, sexuality, therapy, penis size, objectifying men, G spot, monogamy and polyamory, sexual bordeom, desire, LHA sexuality bibliography, 1950s, bars, butch/femme, ""The Femme Question"" article, passing as straight, dildos, vice squad, bathroom line, McCarthyism, passing women, lesbian-feminism, fashion, colonization, LHA slide show, homophobia, sexologists' pathology, androgyny, attacks on conferene, women of color, Latina, personal is political, deviant label, oppression, kink, feminist sex wars, New School, anthropology, ethnography, sex workers, dominatrix, Women Against Pornography (WAP) flyers, Lesbian Sex Mafia, coalitions, naming your sexuality so others can't spread rumors, public sex, LHA accused of not being open to Third World women, Third World Women's Archive, segregation, racism, LHA's support of Third World Women's Archive, meaning of the title 'politically incorrect', SEEK program, Heresies sex issue, ""Erotic Rhapsodies"" article",Politically Correct/ Politically Incorrect Sexuality panel from the Scholar and Feminist IX (Barnard Sex Conference)
SPW 1260,,"Women & Poetry, poems by women poets, 20th century poetry, poems by women for women",Women's Poetry
SPW 1261,,"Music for Celbration of Women's Day on WXPN radio station, Phyllis Klein LIve","Music, Poetry, Prose, etc."
SPW 1262,,"Women & Music, women writers, witchcraft, Kwanzaa, short story",Velvet Sledgehammer
SPW 1263,,"Women & poetry, women's music","A. The Poetry of S. Diane Bogus/ B. laura Nyro, Season of Lights"
SPW 1264,1981-12-05T00:00:00Z,"Feminist poetry and its function, panel discussion between Lorde and Rich regarding radical feminism, race, and their work, Fundraising speech, work and mission of Astraea",Astraea Foundation Benefit
SPW 1265,,"Feminst Poetry and its function, Panel discussion between Lorde and Rich regarding radical feminism, race, their work. Fundraising speech, the work and mission of Astraea.",Astraea Foundation Benefit
SPW 1266,1977-12-17T00:00:00Z,"WBAI Lesbian Program, Musical performance by Suni Paz, reading by Alice Walker from unpublished manuscript, poetry readding by Sharon Thompson, musical performance by Lynn Messenger",Women's Coffee House: A Program of Music & Poetry
SPW 1267,,,Taking Liberties (from Special Collection 8404) (see 1268)
SPW 1268,,,Taking Liberties (from Special Collection 8404)
SPW 1269,,,Lesbian Poetry Reading
SPW 1270,,"Lesbian Herstory Archives, The Lesbian Show",Lesbian Poetry Reading
SPW 1271,October 8,"Susan Saxe Trial, Susan Saxe, Crime, Lesbian Feminism",A- Susan Saxe Vigil Day 2 / B- Radio Show about Susan Saxe Trial
, 1976 & October 9,,
,1976-01-01T00:00:00Z,,
SPW 1272,,"New York, Black Lesbians, Lesbian Humor",The Healing Power of Humor
SPW 1273,,"Lesbian/Gay Publications, The Network, New Jersey",On The Line
SPW 1274,1990-04-25T00:00:00Z,"Education, New Jersey Education Association, Gay and Lesbian Teachers",On The Line- Educators
SPW 1275,1990-05-02T00:00:00Z,"Rutgers Homophile League, Changing Lives of Lesbian and Gay Men in the 20th Century","On The Line - Barb Lee ""Changing Lives of Lesbian and Gay People"""
SPW 1276,,"Books, libraries","A-John Horwick, B-Georgia Pacific I"
SPW 1277,1976-06-24T00:00:00Z,"Lesbian Pride, Songs, Feminism, Women and Music",Lesbian Pride Rally/Lesbian Pride Concert
, 6/25/1976,,
SPW 1278,1979-08-22T00:00:00Z,"Anti-Transsexual, Transsexualism as antithesis of feminism, Sex Roles, The Transsexual Empire",Jan Raymond Interviewed by Susanna Sturgis
SPW 1279,,"In Vitro Fertilization, Sex Selection,",Jan Raymond 2nd Tape of Susanna Sturgis's Interview
SPW 1280,1990-01-01T00:00:00Z,"PFLAG, Parents of Gay and Lesbian Children, Talking about homosexuality in the family, Homosexuality and religion","Accepting Your Gay and Lesbian Child- How to Love Your Children, Just the Way They Are"
SPW 1281,,"Parody, Lesbian Humor, Lesbian Theater","""Mysterious Theatre"", ""The Case of the Menstrual Show Affair"""
SPW 1282,1987-08-18T00:00:00Z,"Los Angeles, Lesbian Poetry, Lesbian Erotica",Lesbian Writers Series 7/18/1987
SPW 1283,1989-04-15T00:00:00Z,Poetry,Dorothy Allison Reading on Lesbian Writers Series
SPW 1284,1989-03-18T00:00:00Z,"Asian Women, Horse Riding, Lesbian Poetry, Asian Lesbians",Willyce Kim and Kitty Tsui (3/18/1989)
SPW 1285,1989-03-30T00:00:00Z,"Lesbian Poetry, Lesbian Writers, Jonestown, Black Lesbians","Pat Parker and Cheryl Clarke CSLA March 30, 1989 (1)"
SPW 1286,,"Lesbian Poetry, Black Lesbians, Butch/Femme","Pat Parker/Cheryl Clarke CSLA March 30, 1989"
SPW 1287,1980-06-04T00:00:00Z,"Lesbian Autobiography, Publishing","Peg Cruikshank, Joan Nestle Womanbooks June 4, 1980"
SPW 1288,1983-01-22T00:00:00Z,"Third world women writing, feminist criticism",Cheryl Clarke - Feminist Criticism and 3rd World Women's Writing
SPW 1289,1982-03-26T00:00:00Z,"Writing, Women and Comedy",Rita Mae Brown on WAMU Radio's Kaleidoscope Show
SPW 1290,,"Judaism, Passover, Gay and Lesbian Jewish Identity","GLIB Outlooks: ""Past Passover Part of the Rainbow We Call Jewish"""
SPW 1291,1980-06-28T00:00:00Z,Poetry,Lesbian Poetry Reading/ A Gala Poetry Reading on Lesbiansim by Lesbian Poets
SPW 1292,1989-09-09T00:00:00Z,"Jewish lesbians, lesbian quakers, funeral services, lesbian lawyers, breast cancer",A Service of Remembrance for Mary-Helen Mautner
SPW 1293,1975-05-04T00:00:00Z,,Interview with Elsa Carlow
SPW 1294,1996-03-15T00:00:00Z,"lesbian lawyers, discrimination, gay and lesbian conferences","Law Conference John Marshal Law School, March 15, 1996 RCH"
SPW 1295,1982-12-07T00:00:00Z,"Lesbian Poetry, Black Lesbians, Publishing","Narratives at Basement Workshop Linda Powell, Gwen Hardwick 12-7-82"
SPW 1296,1981-10-09T00:00:00Z,"Side 1: feminist sex wars, anti porn, sex positive, controversy, feminism, sexuality, First Amendment, censorship, guidelines for discussion, oppression, Dreamers and Dealers book, patriarchy, Snuff film, sexual abuse in porn, civil liberties, radical feminism, comparing modern condition of women to slavery, men convincing women they like submission, porn being like Nazi propaganda, ACLU, The Rights of Authors, Artists, and Other Creative People book, anti-ACLU flyers, Supreme Court definition of obscenity, Women Against Pornography (WAP), Moral Majority, WAP tactics of vandalism, harassment, photographing porn store customers, boycotting, getting Tattoo movie poster removed from subways, violating privacy rights, National Organization for Men Against Sexism, Lavender Culture book, M: Gentlemen for Gender Justice magazine, Eroticism and Ethics book, ""Sadomasochism: Eroticized Violence, Eroticized Powerlessness"" article, Against Sadomasochism: A Radical Feminist Analysis book, Porn: Men Posessing Women book Side 2: male sexual power, male supremacy, prostitution, women shouldn't like S/M, analysis of problems porn causes for men, NYC Radical Women, Redstockings, abortion rights, No More Nice Girls, radical feminist discussion group, Village Voice, sexual liberation, 1960s sexual revolution, definition of porn, taboo fantasies, romance novels as similar to porn, fear of violence, societal need to control sexuality, good and bad girl images, rape, sexual repression, racism, critique of family structure, Woman Hating: A Radical Look at Sexuality, penis as weapon in porn","American Writers Conference Panel on Eros, Language, and Pornography Oct. 9, 1981, Tape 1 of 2"
SPW 1297,,"Side 1: feminist sex wars, anti porn, sex positive, censorship, sexual colonization, penis, male dominance, patriarchy, Playboy, dirty talk, stereotypes of women, lesbian porn for men, women's liberation in Canada, Bread and Roses (Boston), feminist prison programs, lesbian-feminist organizers, Briggs Initiative, San Francisco Lesbian and Gay History Project, Socialist Review, ""What We're Rolling Around in Bed With"" article, Heresies sex issue, misogyny, trauma, victimization, sexual repression and silencing of women, need for sexual autonomy for women, passion, possible to be heterosexual and feminist, consent, La Presidenta book, A Sea Change book, New York Times Hers column, Not Responsible for Personal Articles book, free speech Side 2: penis as imperialism, definition of porn, etymology of pornography, difference between being against porn and being against violence, depictions of women in porn like racist depictions of Jews in Nazi Germany, Women Against Violence in Pornography and Media (WAVPM), banning porn won't end oppression of women, bans on porn in South Africa and Ireland, The Nation, single-issue politics, safety versus freedom, penis isn't always evil, McCarthyism, Reaganism, conservatism, family values, moralism, Clean Up Times Square, mass media technology","American Writers Conference Panel Eros, Language and Pornography, Tape 2 of 2"
SPW 1298,,"Pornography, Freedom of Speech, Censorship, Feminism","American Writers Conference Panel Eros, Language, and Pornography"
SPW 1299,10/09/81-10/12/81,"Government, Freedom of Information, COINTELPRO",American Writer's Congress- Federal Control of Information
SPW 1300,1983-05-17T00:00:00Z,"San Francisco, Asian Communities, Women of Color, Chinese and Chinese-American Culture, Asian Lesbians",KT at the Basement Workshop
SPW 1301,,"Pornography, Anti-Pornography Legislation",WAP US Fact Debbie
SPW 1302,1982-04-24T00:00:00Z,Sexual Roles,"Beyond the Gay/Straight Split : Do Sexual Roles Transcend Sexual Preferences, Scholar and the Feminist Conference IX, Tape 1 of 2"
SPW 1303,,Straight women and lesbians,Part 1 and 2 Interviews
SPW 1304,1982-06-25T00:00:00Z,"Lesbian Singers, Jewish Lesbians, Musical Performances",Maxine Feldman
SPW 1305,1980-07-13T00:00:00Z,"Lesbian Singer, Musical Performances",Madeleine Davis-Greenfield Copy 3
SPW 1306,,"Lesbian Separatism, Political Lesbians",2nd Tape from Christine
SPW 1307,1982-01-24T00:00:00Z,"Health, Cancer, Support Groups","LISG Jan. 24, 1982"
SPW 1308,1981-08-09T00:00:00Z,Support Groups,"LISG August 9, 1981"
SPW 1309,1985-05-19T00:00:00Z,Problems of the Lesbian Press: Side 1: 1)Kate Walter: Doesn&rsquo,Panel: The Lesbian Press: 5th  Gay and Lesbian Press Association Annual National Conference
,,"t writ for LP, no pay",
,,press needs better writing and editing,
,,interviewing could be more aggressive,
,,doesn't want to be ghettoized as a lesbian writer,
,,homophobia in the press 2) Sarah Shulman: wrote for Womanews. Why is Lesbian feminist movement in decline,
,,why is lesbian press so bad - started for a movement,
,,imposing monolithic political perspective on a diverse community,
,,identity politics doesn't work for the movement although it works personally,
,,time for our papers to provoke 34) Grace Shimmel: worked on Majority report,
,,need to work on lesbian culture,
,,need lesbian value system which will come out of lesbian culture,
,,"it's not dying, just different",
,,Side 2: Jewell Gomez: What is the lesbian press,
,,woman news is a woman's press,
,,OOB is but there is no news in it,
,,no philosophical base,
,,dichotomies we live with: straight-lesbian,
,,capitalism,
,,advocacy vs. objectivity,
,,Propagates unity when 60% of community doesn't read it because it has nothing to say to them,
,,how to balance profession and personal responsibilities,
,,"how to speak as a Black Lesbian, woman-how do you balance that",
,,has yet to see groundbreaking work in Lesbian press.,
SPW 1310,1984-06-02T00:00:00Z,Using Josephine Baker and Emma Goldmans' biographies to discuss issues,Public Lives and Prive Lives: Problems of Autobiography. Session 84 at the  Berkshire Conference on the History of Women
SPW 1311,1987-07-11T00:00:00Z,"Coming out, Chicago, nursing school, 1st love, move to California","Daughters of Bilitis:  Shirley Willer, TApe #1 of 4"
,,adopted a child,
,,"DOB, ""One"", ECHO, benefactor ""60-'70",
,,"goals of DOB, DOBN'64, etc.",
SPW 1312,7/11/87 & 7/12/86,"Side A:Religion, MCC, Marion's death, ECHO, working women, '68 convention, March at Liberty Bell, Philadelphia, '65-69","Daughters of Bilitis: Shirley Willer, Tape #2 of 4"
,,"'64 convention, Side B: Marion's work, Matachine, Del & Phyllis, East Bay, NY newsletters, Ladder move, Butch/Fem",
SPW 1313,1987-07-12T00:00:00Z,"Side A: Counseling, L.I. University, Pomeroy & Bengler, Conrad, '64 convention, heart attach, Washington D.C. - Frank Kameny, Gittings and their relationship, movement goals, NY factions, men vs. women. Side B: chit chat on photos","Daughters of Bilitis: Shirley Willer, Tape #3 of 4"
,,nursing school,
,,"Well of Loneliness, etc.",
SPW 1314,,"Side A: :'72 Navy Battle, Carol Scott, Greatest accomplishment at DOB","Daughters of Bilitis:  Shirley Willer, Tape #4 of 4"
SPW 1315,1987-05-10T00:00:00Z,"Side A: Coming out, marriage, New Jersey, '73 went to S.F., DOB groups - ""Sister"" (end '78), community description '70s, Del & Phyllis, names used, Leadership of DOB, Gay Pride march. Side B: DOB services, issues, ending of S.F. DOB, Butch Fem, end of DOB, Bay Area Feminist Federal Credit Union, '76-79, Lesbian/Gay Pride Comm, '85-now.",Daughters of Bilitis:  Helen Ruvelas
SPW 1316,,Side A: Background: Barbara: 15 - 17,Daughters of Bilitis: Pat Helin and Barbara Deming
,,"17 marriage, 1950 2nd marriage, Seattle, Gab & Javas, bas. Pat: accident, 13 -15 Mitchelville Riot, 16-17 Lanedale, 1963 met Barbara. Side B: Mitchelville, mugs",
SPW 1317,,"Side A: Mugs, Pat's DOB meeting, ""Ladder"" parties, DOB's social function vs. political, NOVA org, NOW, feminism, job discrimination, 1966 DOB Convention, speking engagement (long silence on tape)C>R>H> speaking (Pat). Side B: How DOB affecting my life (Pat) , (Barbara) end of relationship with DOB, Lebian caucus","Daughters of Bilitis: Pat Helin and Barbara Deming, Tape #2 of 2"
SPW 1318,,,"Hikane: The Capable Womon.  Disabled Womon's Magazine for Lesbians and Our Wimmin Friends, Issue #5:  Summer 1991-Audio Transcription"
SPW 1319,,,"Hikane: The Capable Womon.  Disabled Womon's Magazine for Lesbians and Our Wimmin Friends, Issue #6, Spring 1992, Adar 5752-Audio Transcription"
SPW 1320,,,"Hikane: The Capable Womon.  Disabled Womon's Magazine for Lesbians and Our Wimmen Friends, Issue #7,Summer 1992, Fivan 5752, Tape 1 of 2-Audio Transcription"
SPW 1321,,,"Hikane: The Capable Womon.  Disabled Womon's Magazine for Lesbians and Our Wimmin Friends, Issue #7,Summer 1992; Fivan 5752, Tape 2 of 2-Audio Transcription"
SPW 1322,1992-04-21T00:00:00Z,"Femme, sex,lesbianism, bisexuality and a multitude of other topics most focusing on some aspect of sex, sexuality and lesbian communities from various periods--most critical of older lesbian feminists",Femme:  Lulu McCowan and Carol Queen: Tape 1 of 7
SPW  1323,1992-05-04T00:00:00Z,"Various subjects related to sex, sexuality including Joan Nestle vs. Joann Lulan",Femme:  Lulu McCowan and Carol Queen: Tape 2 of 7
,,"differences between heterosexual feminists and lesbian feminists, femme as a lesbian conceapt, bisexuality, and so on.",
SPW 1324,,Various subjects relating to sex & sexuality including relationships,Femme:  Lulu McCowan and Carol Queen: Tape 3 of 7
SPW 1325,,Various subjects related to sex and sexuality including good sex and why essentialism is negative,Femme:  Lulu McCowan and Carol Queen: Tape 4 of 7
SPW 1326,1992-06-03T00:00:00Z,Various subjects related to sex and sexuality including being kids in the 1970s,Femme:  Lulu McCowan and Carol Queen: Tape 5 of 7
SPW 1327,,"Various subjects related to sex and sexuality including femmes and why they need a movement, relationship between identity and behavior, what is a lesbian, lesbians sleeping with men (the bisexual woman talking about men she connects with erotically), continuing critique of lesbian feminists",Femme:  Lulu McCowan and Carol Queen: Tape 6 of 7
SPW 1328,,Various subjects relating to sex and sexuality including identity and behavior,Femme:  Lulu McCowan and Carol Queen: Tape 7 of 7
,,"social construction of identity, identity politics",
SPW 1329,mid 1979s?,Panel: bias towards male artists,Art and the Effect of the Women's Movement (Side 1); Joan Larkin and her Poetry (Side 2):  WBAI Program
,,female or women's imagery in visual art,
,,increase in journalism re women's art,
,,"Lubelle on ""manly art and unmanly art"",""American sensibility:, ""sophistication""",
,,"Derfner on the use of certain ""woman's materialsassimilation?",
,,and more (side1),
,,introductions to her poetry and her poetry readings,
SPW 1330,1991-10-18T00:00:00Z,People attending saying why they are there,Panel on Women and AIDS at CUNY Graduate Center: Tape 1 of 2
,,"Leni Goodman, New York Association of Lesbian and Gay Psychologists (NYAGLP), Introduction",
,,"Maxine Wolfe, ACT UP NY: Politics of Women and HIV",
,,"Susan Lopez, Lesbian with HIV and her experience with woman to woman transmission",
,,"Denise Ribble, Nurse, did first support group for women and lesbians at Community Health Project -how she started",
,,"what women need, how to offer support",
